Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,day,dayofweek,month,total_sub_metering,lag_1,lag_24,rolling_mean_3,rolling_mean_24
3.330666666666666,0.149125,0.3372317202546107,14.191666666666668,0.0,0.3333333333333333,16.791666666666668,17,17,6,12,17.125,2.9064255319148935,3.1841666666666666,2.911683510638298,2.247933302850059
3.388074074074074,0.10896296296296297,0.3957113021296159,14.325925925925926,0.0,0.0,17.037037037037038,18,17,6,12,17.037037037037038,3.330666666666666,2.737030303030303,3.208388757551878,2.2750601266435497
2.7297307692307693,0.2476153846153846,0.30456773926253256,11.734615384615385,0.0,0.5384615384615384,16.692307692307693,19,17,6,12,17.230769230769234,3.388074074074074,3.362754716981132,3.1494905033238365,2.248684128820618
3.0725142857142855,0.2317142857142857,0.4086158455548041,13.068571428571428,0.0,0.9714285714285714,17.02857142857143,20,17,6,12,18.0,2.7297307692307693,3.2685666666666666,3.0634397096730432,2.240515279614269
3.0156896551724137,0.2683793103448276,0.5426159227388094,12.610344827586207,0.0,1.206896551724138,17.517241379310345,21,17,6,12,18.724137931034484,3.0725142857142855,3.0564666666666667,2.939311570039156,2.238816237468675
1.518,0.23536666666666667,0.6674487242261034,6.383333333333334,0.0,0.4166666666666667,2.5,22,17,6,12,2.9166666666666665,3.0156896551724137,2.2001333333333335,2.5354013136288995,2.2103940152464525
0.4377333333333333,0.2218,0.8119593602089115,1.9966666666666666,0.0,0.8,0.0,23,17,6,12,0.8,1.518,1.995344827586207,1.6571409961685823,2.14549353631925
0.2763666666666667,0.09906666666666666,0.765994777215603,1.2233333333333334,0.0,0.03333333333333333,0.0,0,18,0,12,0.03333333333333333,0.4377333333333333,1.8824666666666665,0.7440333333333333,2.0785727029859165
0.31329999999999997,0.1519,0.7215943093411674,1.4166666666666667,0.0,0.5833333333333334,0.0,1,18,0,12,0.5833333333333334,0.2763666666666667,2.3374666666666664,0.3424666666666667,1.9942324252081385
0.2844666666666667,0.10906666666666666,0.8591684347968016,1.2566666666666666,0.0,0.0,0.0,2,18,0,12,0.0,0.31329999999999997,1.5872666666666668,0.2913777777777778,1.9399490918748052
